Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6gh8(chain_b)_Lujo_12035_uff_E=87.95,-4.0,0.0,0.0
6gh8(chain_b)_Lujo_12035_uff_E=87.95,-3.8,12.679,12.09
6gh8(chain_b)_Lujo_12035_uff_E=87.95,-3.7,4.043,3.02
6gh8(chain_b)_Lujo_12035_uff_E=87.95,-3.7,25.884,25.322
6gh8(chain_b)_Lujo_12035_uff_E=87.95,-3.7,25.633,25.024
6gh8(chain_b)_Lujo_12035_uff_E=87.95,-3.7,25.799,24.55
6gh8(chain_b)_Lujo_12035_uff_E=87.95,-3.5,12.06,11.3
6gh8(chain_b)_Lujo_12035_uff_E=87.95,-3.5,2.548,2.368
6gh8(chain_b)_Lujo_12035_uff_E=87.95,-3.5,32.177,31.354
6gh8(chain_b)_Lujo_37542_uff_E=563.85,-5.5,0.0,0.0
6gh8(chain_b)_Lujo_37542_uff_E=563.85,-5.4,2.565,1.905
6gh8(chain_b)_Lujo_37542_uff_E=563.85,-5.4,6.281,2.299
6gh8(chain_b)_Lujo_37542_uff_E=563.85,-5.3,6.367,4.533
6gh8(chain_b)_Lujo_37542_uff_E=563.85,-5.2,5.549,3.817
6gh8(chain_b)_Lujo_37542_uff_E=563.85,-5.2,8.608,5.499
6gh8(chain_b)_Lujo_37542_uff_E=563.85,-5.2,5.912,2.832
6gh8(chain_b)_Lujo_37542_uff_E=563.85,-5.2,25.639,24.892
6gh8(chain_b)_Lujo_37542_uff_E=563.85,-5.2,25.93,24.578
6gh8(chain_b)_Lujo_492405_uff_E=70.90,-4.9,0.0,0.0
6gh8(chain_b)_Lujo_492405_uff_E=70.90,-4.6,2.661,1.626
6gh8(chain_b)_Lujo_492405_uff_E=70.90,-4.5,25.221,24.261
6gh8(chain_b)_Lujo_492405_uff_E=70.90,-4.5,25.296,24.369
6gh8(chain_b)_Lujo_492405_uff_E=70.90,-4.3,2.562,2.331
6gh8(chain_b)_Lujo_492405_uff_E=70.90,-4.3,24.071,23.151
6gh8(chain_b)_Lujo_492405_uff_E=70.90,-4.3,25.844,24.907
6gh8(chain_b)_Lujo_492405_uff_E=70.90,-4.2,25.599,24.667
6gh8(chain_b)_Lujo_492405_uff_E=70.90,-4.2,24.764,23.909
6gh8(chain_b)_Lujo_60823_uff_E=1148.02,-6.8,0.0,0.0
6gh8(chain_b)_Lujo_60823_uff_E=1148.02,-6.2,4.975,2.659
6gh8(chain_b)_Lujo_60823_uff_E=1148.02,-6.0,21.519,18.042
6gh8(chain_b)_Lujo_60823_uff_E=1148.02,-5.8,22.097,18.433
6gh8(chain_b)_Lujo_60823_uff_E=1148.02,-5.8,23.028,20.033
6gh8(chain_b)_Lujo_60823_uff_E=1148.02,-5.7,21.847,18.421
6gh8(chain_b)_Lujo_60823_uff_E=1148.02,-5.5,24.061,19.997
