Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6gh8(chain_b)_Lujo_Amb17609270_uff_E=23487.31,-13.1,0,0
6gh8(chain_b)_Lujo_Amb35755578_uff_E=15450.87,-10.9,0,0
6gh8(chain_b)_Lujo_Amb17608558_uff_E=17030.05,-10.4,0,0
6gh8(chain_b)_Lujo_Amb17608546_uff_E=1095.33,-8.5,0,0
6gh8(chain_b)_Lujo_Amb35808395_uff_E=847.66,-8.4,0,0
6gh8(chain_b)_Lujo_Amb24084697_uff_E=872.02,-8.3,0,0
6gh8(chain_b)_Lujo_Amb19130786_uff_E=973.56,-8.2,0,0
6gh8(chain_b)_Lujo_Amb17609209_uff_E=886.01,-8.2,0,0
6gh8(chain_b)_Lujo_Amb17608560_uff_E=870.37,-8,0,0
6gh8(chain_b)_Lujo_Amb35797320_uff_E=829.12,-8,0,0
6gh8(chain_b)_Lujo_Amb8383905_uff_E=836.88,-7.9,0,0
