#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0060337	type I interferon signaling pathway	10	67	2.42	9.26e-20	9606.ENSP00000252593,9606.ENSP00000262878,9606.ENSP00000333657,9606.ENSP00000342278,9606.ENSP00000368699,9606.ENSP00000371471,9606.ENSP00000380697,9606.ENSP00000381601,9606.ENSP00000388001,9606.ENSP00000395590	BST2,SAMHD1,MX2,OAS2,ISG15,RSAD2,IRF7,MX1,OAS1,IFI35
GO:0045087	innate immune response	11	703	1.44	5.49e-13	9606.ENSP00000252593,9606.ENSP00000262878,9606.ENSP00000291759,9606.ENSP00000333657,9606.ENSP00000342278,9606.ENSP00000368699,9606.ENSP00000371471,9606.ENSP00000380697,9606.ENSP00000381601,9606.ENSP00000388001,9606.ENSP00000395590	BST2,SAMHD1,LILRA4,MX2,OAS2,ISG15,RSAD2,IRF7,MX1,OAS1,IFI35
GO:0051607	defense response to virus	9	210	1.88	5.49e-13	9606.ENSP00000252593,9606.ENSP00000262878,9606.ENSP00000333657,9606.ENSP00000342278,9606.ENSP00000368699,9606.ENSP00000371471,9606.ENSP00000380697,9606.ENSP00000381601,9606.ENSP00000388001	BST2,SAMHD1,MX2,OAS2,ISG15,RSAD2,IRF7,MX1,OAS1
GO:0045071	negative regulation of viral genome replication	6	61	2.24	7.84e-10	9606.ENSP00000252593,9606.ENSP00000342278,9606.ENSP00000368699,9606.ENSP00000371471,9606.ENSP00000381601,9606.ENSP00000388001	BST2,OAS2,ISG15,RSAD2,MX1,OAS1
GO:0007166	cell surface receptor signaling pathway	11	2325	0.93	5.44e-08	9606.ENSP00000252593,9606.ENSP00000262878,9606.ENSP00000291759,9606.ENSP00000333657,9606.ENSP00000342278,9606.ENSP00000368699,9606.ENSP00000371471,9606.ENSP00000380697,9606.ENSP00000381601,9606.ENSP00000388001,9606.ENSP00000395590	BST2,SAMHD1,LILRA4,MX2,OAS2,ISG15,RSAD2,IRF7,MX1,OAS1,IFI35
GO:0035455	response to interferon-alpha	3	23	2.37	0.00018	9606.ENSP00000252593,9606.ENSP00000333657,9606.ENSP00000388001	BST2,MX2,OAS1
GO:0034341	response to interferon-gamma	4	182	1.59	0.0012	9606.ENSP00000252593,9606.ENSP00000342278,9606.ENSP00000380697,9606.ENSP00000388001	BST2,OAS2,IRF7,OAS1
GO:0034155	regulation of toll-like receptor 7 signaling pathway	2	5	2.85	0.0027	9606.ENSP00000291759,9606.ENSP00000371471	LILRA4,RSAD2
GO:0034121	regulation of toll-like receptor signaling pathway	3	69	1.89	0.0034	9606.ENSP00000291759,9606.ENSP00000371471,9606.ENSP00000380697	LILRA4,RSAD2,IRF7
GO:0060333	interferon-gamma-mediated signaling pathway	3	70	1.88	0.0034	9606.ENSP00000342278,9606.ENSP00000380697,9606.ENSP00000388001	OAS2,IRF7,OAS1
GO:0016185	synaptic vesicle budding from presynaptic endocytic zone membrane	2	7	2.71	0.0043	9606.ENSP00000333657,9606.ENSP00000381601	MX2,MX1
GO:0098884	postsynaptic neurotransmitter receptor internalization	2	8	2.65	0.0052	9606.ENSP00000333657,9606.ENSP00000381601	MX2,MX1
GO:0060700	regulation of ribonuclease activity	2	9	2.6	0.0061	9606.ENSP00000342278,9606.ENSP00000388001	OAS2,OAS1
GO:0034163	regulation of toll-like receptor 9 signaling pathway	2	11	2.51	0.0081	9606.ENSP00000291759,9606.ENSP00000371471	LILRA4,RSAD2
GO:0001817	regulation of cytokine production	5	742	1.08	0.0107	9606.ENSP00000252593,9606.ENSP00000291759,9606.ENSP00000368699,9606.ENSP00000371471,9606.ENSP00000380697	BST2,LILRA4,ISG15,RSAD2,IRF7
GO:0032479	regulation of type I interferon production	3	130	1.61	0.0167	9606.ENSP00000291759,9606.ENSP00000368699,9606.ENSP00000380697	LILRA4,ISG15,IRF7
GO:0000266	mitochondrial fission	2	20	2.25	0.0218	9606.ENSP00000333657,9606.ENSP00000381601	MX2,MX1
GO:0002682	regulation of immune system process	6	1514	0.85	0.0231	9606.ENSP00000252593,9606.ENSP00000262878,9606.ENSP00000291759,9606.ENSP00000368699,9606.ENSP00000371471,9606.ENSP00000380697	BST2,SAMHD1,LILRA4,ISG15,RSAD2,IRF7
GO:0050776	regulation of immune response	5	896	1.0	0.0238	9606.ENSP00000252593,9606.ENSP00000262878,9606.ENSP00000291759,9606.ENSP00000371471,9606.ENSP00000380697	BST2,SAMHD1,LILRA4,RSAD2,IRF7
GO:0032647	regulation of interferon-alpha production	2	32	2.05	0.0481	9606.ENSP00000291759,9606.ENSP00000380697	LILRA4,IRF7
