#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0051607	defense response to virus	7	210	1.77	1.04e-07	9606.ENSP00000257570,9606.ENSP00000262510,9606.ENSP00000323889,9606.ENSP00000368699,9606.ENSP00000369213,9606.ENSP00000377344,9606.ENSP00000401980	OASL,NLRC5,TRIM25,ISG15,DDX58,DDX60,MAVS
GO:0032480	negative regulation of type I interferon production	5	45	2.3	3.54e-07	9606.ENSP00000262510,9606.ENSP00000323889,9606.ENSP00000368699,9606.ENSP00000369213,9606.ENSP00000401980	NLRC5,TRIM25,ISG15,DDX58,MAVS
GO:0044419	interspecies interaction between organisms	10	1899	0.97	3.34e-06	9606.ENSP00000257570,9606.ENSP00000262510,9606.ENSP00000323889,9606.ENSP00000358072,9606.ENSP00000368699,9606.ENSP00000369213,9606.ENSP00000377344,9606.ENSP00000401980,9606.ENSP00000425107,9606.ENSP00000441543	OASL,NLRC5,TRIM25,ATG5,ISG15,DDX58,DDX60,MAVS,ATG12,UBC
GO:0045087	innate immune response	7	703	1.25	6.80e-05	9606.ENSP00000257570,9606.ENSP00000262510,9606.ENSP00000323889,9606.ENSP00000368699,9606.ENSP00000369213,9606.ENSP00000377344,9606.ENSP00000401980	OASL,NLRC5,TRIM25,ISG15,DDX58,DDX60,MAVS
GO:0001817	regulation of cytokine production	7	742	1.22	8.42e-05	9606.ENSP00000262510,9606.ENSP00000323889,9606.ENSP00000358072,9606.ENSP00000368699,9606.ENSP00000369213,9606.ENSP00000377344,9606.ENSP00000401980	NLRC5,TRIM25,ATG5,ISG15,DDX58,DDX60,MAVS
GO:0016032	viral process	7	776	1.21	8.96e-05	9606.ENSP00000323889,9606.ENSP00000358072,9606.ENSP00000368699,9606.ENSP00000369213,9606.ENSP00000401980,9606.ENSP00000425107,9606.ENSP00000441543	TRIM25,ATG5,ISG15,DDX58,MAVS,ATG12,UBC
GO:0051707	response to other organism	8	1256	1.05	8.96e-05	9606.ENSP00000257570,9606.ENSP00000262510,9606.ENSP00000323889,9606.ENSP00000358072,9606.ENSP00000368699,9606.ENSP00000369213,9606.ENSP00000377344,9606.ENSP00000401980	OASL,NLRC5,TRIM25,ATG5,ISG15,DDX58,DDX60,MAVS
GO:1903901	negative regulation of viral life cycle	4	86	1.92	0.00017	9606.ENSP00000257570,9606.ENSP00000323889,9606.ENSP00000368699,9606.ENSP00000401980	OASL,TRIM25,ISG15,MAVS
GO:0060338	regulation of type I interferon-mediated signaling pathway	3	35	2.18	0.0011	9606.ENSP00000215794,9606.ENSP00000262510,9606.ENSP00000401980	USP18,NLRC5,MAVS
GO:0002831	regulation of response to biotic stimulus	5	406	1.34	0.0014	9606.ENSP00000215794,9606.ENSP00000262510,9606.ENSP00000369213,9606.ENSP00000377344,9606.ENSP00000401980	USP18,NLRC5,DDX58,DDX60,MAVS
GO:0019985	translesion synthesis	3	42	2.1	0.0015	9606.ENSP00000323889,9606.ENSP00000368699,9606.ENSP00000441543	TRIM25,ISG15,UBC
GO:0060759	regulation of response to cytokine stimulus	4	175	1.61	0.0016	9606.ENSP00000215794,9606.ENSP00000262510,9606.ENSP00000369213,9606.ENSP00000401980	USP18,NLRC5,DDX58,MAVS
GO:0051090	regulation of DNA-binding transcription factor activity	5	437	1.31	0.0017	9606.ENSP00000262510,9606.ENSP00000323889,9606.ENSP00000369213,9606.ENSP00000401980,9606.ENSP00000441543	NLRC5,TRIM25,DDX58,MAVS,UBC
GO:0002682	regulation of immune system process	7	1514	0.92	0.0027	9606.ENSP00000215794,9606.ENSP00000262510,9606.ENSP00000358072,9606.ENSP00000368699,9606.ENSP00000369213,9606.ENSP00000377344,9606.ENSP00000401980	USP18,NLRC5,ATG5,ISG15,DDX58,DDX60,MAVS
GO:0060760	positive regulation of response to cytokine stimulus	3	58	1.96	0.0028	9606.ENSP00000262510,9606.ENSP00000369213,9606.ENSP00000401980	NLRC5,DDX58,MAVS
GO:0045071	negative regulation of viral genome replication	3	61	1.94	0.0030	9606.ENSP00000257570,9606.ENSP00000368699,9606.ENSP00000401980	OASL,ISG15,MAVS
GO:0006950	response to stress	9	3485	0.66	0.0036	9606.ENSP00000257570,9606.ENSP00000262510,9606.ENSP00000323889,9606.ENSP00000358072,9606.ENSP00000368699,9606.ENSP00000369213,9606.ENSP00000377344,9606.ENSP00000401980,9606.ENSP00000441543	OASL,NLRC5,TRIM25,ATG5,ISG15,DDX58,DDX60,MAVS,UBC
GO:0002376	immune system process	8	2481	0.76	0.0039	9606.ENSP00000257570,9606.ENSP00000262510,9606.ENSP00000323889,9606.ENSP00000358072,9606.ENSP00000368699,9606.ENSP00000369213,9606.ENSP00000377344,9606.ENSP00000401980	OASL,NLRC5,TRIM25,ATG5,ISG15,DDX58,DDX60,MAVS
GO:0002735	positive regulation of myeloid dendritic cell cytokine production	2	6	2.77	0.0039	9606.ENSP00000369213,9606.ENSP00000401980	DDX58,MAVS
GO:0006501	C-terminal protein lipidation	2	6	2.77	0.0039	9606.ENSP00000358072,9606.ENSP00000425107	ATG5,ATG12
GO:0051091	positive regulation of DNA-binding transcription factor activity	4	271	1.42	0.0052	9606.ENSP00000323889,9606.ENSP00000369213,9606.ENSP00000401980,9606.ENSP00000441543	TRIM25,DDX58,MAVS,UBC
GO:0050688	regulation of defense response to virus	3	81	1.82	0.0054	9606.ENSP00000369213,9606.ENSP00000377344,9606.ENSP00000401980	DDX58,DDX60,MAVS
