#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0060337	type I interferon signaling pathway	9	67	2.38	1.17e-16	9606.ENSP00000270139,9606.ENSP00000276927,9606.ENSP00000343204,9606.ENSP00000343957,9606.ENSP00000368699,9606.ENSP00000380697,9606.ENSP00000431885,9606.ENSP00000471896,9606.ENSP00000480467	IFNAR1,IFNA1,JAK1,IFNAR2,ISG15,IRF7,TYK2,IRF3,IFNA13
GO:0019221	cytokine-mediated signaling pathway	11	678	1.46	4.16e-13	9606.ENSP00000226730,9606.ENSP00000270139,9606.ENSP00000276927,9606.ENSP00000327824,9606.ENSP00000343204,9606.ENSP00000343957,9606.ENSP00000368699,9606.ENSP00000380697,9606.ENSP00000431885,9606.ENSP00000471896,9606.ENSP00000480467	IL2,IFNAR1,IFNA1,IFNLR1,JAK1,IFNAR2,ISG15,IRF7,TYK2,IRF3,IFNA13
GO:0045087	innate immune response	10	703	1.4	1.03e-10	9606.ENSP00000270139,9606.ENSP00000276927,9606.ENSP00000327824,9606.ENSP00000343204,9606.ENSP00000343957,9606.ENSP00000368699,9606.ENSP00000380697,9606.ENSP00000431885,9606.ENSP00000471896,9606.ENSP00000480467	IFNAR1,IFNA1,IFNLR1,JAK1,IFNAR2,ISG15,IRF7,TYK2,IRF3,IFNA13
GO:0009615	response to virus	8	293	1.69	9.88e-10	9606.ENSP00000270139,9606.ENSP00000276927,9606.ENSP00000327824,9606.ENSP00000343957,9606.ENSP00000368699,9606.ENSP00000380697,9606.ENSP00000471896,9606.ENSP00000480467	IFNAR1,IFNA1,IFNLR1,IFNAR2,ISG15,IRF7,IRF3,IFNA13
GO:0006955	immune response	11	1588	1.09	1.83e-09	9606.ENSP00000226730,9606.ENSP00000270139,9606.ENSP00000276927,9606.ENSP00000327824,9606.ENSP00000343204,9606.ENSP00000343957,9606.ENSP00000368699,9606.ENSP00000380697,9606.ENSP00000431885,9606.ENSP00000471896,9606.ENSP00000480467	IL2,IFNAR1,IFNA1,IFNLR1,JAK1,IFNAR2,ISG15,IRF7,TYK2,IRF3,IFNA13
GO:0051607	defense response to virus	7	210	1.77	9.44e-09	9606.ENSP00000276927,9606.ENSP00000327824,9606.ENSP00000343957,9606.ENSP00000368699,9606.ENSP00000380697,9606.ENSP00000471896,9606.ENSP00000480467	IFNA1,IFNLR1,IFNAR2,ISG15,IRF7,IRF3,IFNA13
GO:0002252	immune effector process	8	969	1.17	4.20e-06	9606.ENSP00000226730,9606.ENSP00000276927,9606.ENSP00000327824,9606.ENSP00000343957,9606.ENSP00000368699,9606.ENSP00000380697,9606.ENSP00000471896,9606.ENSP00000480467	IL2,IFNA1,IFNLR1,IFNAR2,ISG15,IRF7,IRF3,IFNA13
GO:0031347	regulation of defense response	6	674	1.2	0.00041	9606.ENSP00000226730,9606.ENSP00000327824,9606.ENSP00000343204,9606.ENSP00000343957,9606.ENSP00000380697,9606.ENSP00000471896	IL2,IFNLR1,JAK1,IFNAR2,IRF7,IRF3
GO:0060338	regulation of type I interferon-mediated signaling pathway	3	35	2.18	0.00064	9606.ENSP00000343957,9606.ENSP00000380697,9606.ENSP00000471896	IFNAR2,IRF7,IRF3
GO:0001959	regulation of cytokine-mediated signaling pathway	4	163	1.64	0.00091	9606.ENSP00000343204,9606.ENSP00000343957,9606.ENSP00000380697,9606.ENSP00000471896	JAK1,IFNAR2,IRF7,IRF3
GO:0002831	regulation of response to biotic stimulus	5	406	1.34	0.00091	9606.ENSP00000327824,9606.ENSP00000343204,9606.ENSP00000343957,9606.ENSP00000380697,9606.ENSP00000471896	IFNLR1,JAK1,IFNAR2,IRF7,IRF3
GO:0043330	response to exogenous dsRNA	3	46	2.06	0.0012	9606.ENSP00000276927,9606.ENSP00000471896,9606.ENSP00000480467	IFNA1,IRF3,IFNA13
GO:0039530	MDA-5 signaling pathway	2	3	3.07	0.0014	9606.ENSP00000380697,9606.ENSP00000471896	IRF7,IRF3
GO:0002682	regulation of immune system process	7	1514	0.92	0.0020	9606.ENSP00000226730,9606.ENSP00000327824,9606.ENSP00000343204,9606.ENSP00000343957,9606.ENSP00000368699,9606.ENSP00000380697,9606.ENSP00000471896	IL2,IFNLR1,JAK1,IFNAR2,ISG15,IRF7,IRF3
GO:0030101	natural killer cell activation	3	56	1.98	0.0020	9606.ENSP00000226730,9606.ENSP00000276927,9606.ENSP00000480467	IL2,IFNA1,IFNA13
