#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0045089	positive regulation of innate immune response	9	208	1.89	2.02e-12	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000329967,9606.ENSP00000331288,9606.ENSP00000369581,9606.ENSP00000384273,9606.ENSP00000401980,9606.ENSP00000464030,9606.ENSP00000471896	CREBBP,EP300,TBK1,TMEM173,IFNB1,RELA,MAVS,IKBKE,IRF3
GO:0032479	regulation of type I interferon production	8	130	2.04	4.70e-12	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000329967,9606.ENSP00000331288,9606.ENSP00000384273,9606.ENSP00000401980,9606.ENSP00000464030,9606.ENSP00000471896	CREBBP,EP300,TBK1,TMEM173,RELA,MAVS,IKBKE,IRF3
GO:0032481	positive regulation of type I interferon production	7	80	2.19	3.05e-11	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000329967,9606.ENSP00000331288,9606.ENSP00000384273,9606.ENSP00000401980,9606.ENSP00000471896	CREBBP,EP300,TBK1,TMEM173,RELA,MAVS,IRF3
GO:0001817	regulation of cytokine production	10	742	1.38	1.53e-10	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000264110,9606.ENSP00000329967,9606.ENSP00000331288,9606.ENSP00000369581,9606.ENSP00000384273,9606.ENSP00000401980,9606.ENSP00000464030,9606.ENSP00000471896	CREBBP,EP300,ATF2,TBK1,TMEM173,IFNB1,RELA,MAVS,IKBKE,IRF3
GO:0050776	regulation of immune response	10	896	1.3	7.93e-10	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000329967,9606.ENSP00000331288,9606.ENSP00000360266,9606.ENSP00000369581,9606.ENSP00000384273,9606.ENSP00000401980,9606.ENSP00000464030,9606.ENSP00000471896	CREBBP,EP300,TBK1,TMEM173,JUN,IFNB1,RELA,MAVS,IKBKE,IRF3
GO:0002684	positive regulation of immune system process	10	949	1.27	1.27e-09	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000329967,9606.ENSP00000331288,9606.ENSP00000360266,9606.ENSP00000369581,9606.ENSP00000384273,9606.ENSP00000401980,9606.ENSP00000464030,9606.ENSP00000471896	CREBBP,EP300,TBK1,TMEM173,JUN,IFNB1,RELA,MAVS,IKBKE,IRF3
GO:0045944	positive regulation of transcription by RNA polymerase II	10	1253	1.15	1.56e-08	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000264110,9606.ENSP00000329967,9606.ENSP00000331288,9606.ENSP00000360266,9606.ENSP00000369581,9606.ENSP00000384273,9606.ENSP00000401980,9606.ENSP00000471896	CREBBP,EP300,ATF2,TBK1,TMEM173,JUN,IFNB1,RELA,MAVS,IRF3
GO:0001819	positive regulation of cytokine production	8	461	1.49	1.85e-08	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000264110,9606.ENSP00000329967,9606.ENSP00000331288,9606.ENSP00000384273,9606.ENSP00000401980,9606.ENSP00000471896	CREBBP,EP300,ATF2,TBK1,TMEM173,RELA,MAVS,IRF3
GO:0044403	symbiotic process	9	865	1.27	3.76e-08	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000329967,9606.ENSP00000331288,9606.ENSP00000360266,9606.ENSP00000384273,9606.ENSP00000401980,9606.ENSP00000464030,9606.ENSP00000471896	CREBBP,EP300,TBK1,TMEM173,JUN,RELA,MAVS,IKBKE,IRF3
GO:0009615	response to virus	7	293	1.63	5.97e-08	9606.ENSP00000329967,9606.ENSP00000331288,9606.ENSP00000369581,9606.ENSP00000384273,9606.ENSP00000401980,9606.ENSP00000464030,9606.ENSP00000471896	TBK1,TMEM173,IFNB1,RELA,MAVS,IKBKE,IRF3
GO:0002218	activation of innate immune response	6	142	1.88	7.34e-08	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000329967,9606.ENSP00000331288,9606.ENSP00000384273,9606.ENSP00000401980	CREBBP,EP300,TBK1,TMEM173,RELA,MAVS
GO:0060340	positive regulation of type I interferon-mediated signaling pathway	4	13	2.74	1.12e-07	9606.ENSP00000329967,9606.ENSP00000401980,9606.ENSP00000464030,9606.ENSP00000471896	TBK1,MAVS,IKBKE,IRF3
GO:0071360	cellular response to exogenous dsRNA	4	17	2.62	2.25e-07	9606.ENSP00000331288,9606.ENSP00000369581,9606.ENSP00000401980,9606.ENSP00000471896	TMEM173,IFNB1,MAVS,IRF3
GO:0044419	interspecies interaction between organisms	10	1899	0.97	4.82e-07	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000329967,9606.ENSP00000331288,9606.ENSP00000360266,9606.ENSP00000369581,9606.ENSP00000384273,9606.ENSP00000401980,9606.ENSP00000464030,9606.ENSP00000471896	CREBBP,EP300,TBK1,TMEM173,JUN,IFNB1,RELA,MAVS,IKBKE,IRF3
GO:0051607	defense response to virus	6	210	1.71	4.82e-07	9606.ENSP00000329967,9606.ENSP00000331288,9606.ENSP00000369581,9606.ENSP00000384273,9606.ENSP00000401980,9606.ENSP00000471896	TBK1,TMEM173,IFNB1,RELA,MAVS,IRF3
GO:0016032	viral process	8	776	1.26	5.18e-07	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000329967,9606.ENSP00000331288,9606.ENSP00000384273,9606.ENSP00000401980,9606.ENSP00000464030,9606.ENSP00000471896	CREBBP,EP300,TBK1,TMEM173,RELA,MAVS,IKBKE,IRF3
GO:0006952	defense response	9	1296	1.09	6.54e-07	9606.ENSP00000263253,9606.ENSP00000329967,9606.ENSP00000331288,9606.ENSP00000360266,9606.ENSP00000369581,9606.ENSP00000384273,9606.ENSP00000401980,9606.ENSP00000464030,9606.ENSP00000471896	EP300,TBK1,TMEM173,JUN,IFNB1,RELA,MAVS,IKBKE,IRF3
GO:0010629	negative regulation of gene expression	10	2014	0.95	6.82e-07	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000264110,9606.ENSP00000329967,9606.ENSP00000360266,9606.ENSP00000369581,9606.ENSP00000384273,9606.ENSP00000401980,9606.ENSP00000464030,9606.ENSP00000471896	CREBBP,EP300,ATF2,TBK1,JUN,IFNB1,RELA,MAVS,IKBKE,IRF3
GO:0051239	regulation of multicellular organismal process	11	3227	0.78	1.18e-06	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000264110,9606.ENSP00000329967,9606.ENSP00000331288,9606.ENSP00000360266,9606.ENSP00000369581,9606.ENSP00000384273,9606.ENSP00000401980,9606.ENSP00000464030,9606.ENSP00000471896	CREBBP,EP300,ATF2,TBK1,TMEM173,JUN,IFNB1,RELA,MAVS,IKBKE,IRF3
