#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0033613	activating transcription factor binding	5	90	1.99	5.71e-06	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000264110,9606.ENSP00000360266,9606.ENSP00000384273	CREBBP,EP300,ATF2,JUN,RELA
GO:0001102	RNA polymerase II activating transcription factor binding	4	53	2.13	5.48e-05	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000264110,9606.ENSP00000360266	CREBBP,EP300,ATF2,JUN
GO:0016407	acetyltransferase activity	4	79	1.95	0.00017	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000264110,9606.ENSP00000369581	CREBBP,EP300,ATF2,IFNB1
GO:0061629	RNA polymerase II-specific DNA-binding transcription factor binding	5	283	1.5	0.00037	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000264110,9606.ENSP00000360266,9606.ENSP00000384273	CREBBP,EP300,ATF2,JUN,RELA
GO:0008134	transcription factor binding	6	672	1.2	0.00070	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000264110,9606.ENSP00000331288,9606.ENSP00000360266,9606.ENSP00000384273	CREBBP,EP300,ATF2,TMEM173,JUN,RELA
GO:0000987	cis-regulatory region sequence-specific DNA binding	6	701	1.18	0.00074	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000264110,9606.ENSP00000360266,9606.ENSP00000384273,9606.ENSP00000471896	CREBBP,EP300,ATF2,JUN,RELA,IRF3
GO:0004402	histone acetyltransferase activity	3	32	2.22	0.00074	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000264110	CREBBP,EP300,ATF2
GO:0003682	chromatin binding	5	570	1.19	0.0029	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000264110,9606.ENSP00000360266,9606.ENSP00000384273	CREBBP,EP300,ATF2,JUN,RELA
GO:0005515	protein binding	11	7026	0.44	0.0035	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000264110,9606.ENSP00000329967,9606.ENSP00000331288,9606.ENSP00000360266,9606.ENSP00000369581,9606.ENSP00000384273,9606.ENSP00000401980,9606.ENSP00000464030,9606.ENSP00000471896	CREBBP,EP300,ATF2,TBK1,TMEM173,JUN,IFNB1,RELA,MAVS,IKBKE,IRF3
GO:0031625	ubiquitin protein ligase binding	4	296	1.38	0.0041	9606.ENSP00000331288,9606.ENSP00000360266,9606.ENSP00000384273,9606.ENSP00000464030	TMEM173,JUN,RELA,IKBKE
GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	5	672	1.12	0.0045	9606.ENSP00000263253,9606.ENSP00000264110,9606.ENSP00000360266,9606.ENSP00000384273,9606.ENSP00000471896	EP300,ATF2,JUN,RELA,IRF3
GO:0035497	cAMP response element binding	2	14	2.41	0.0075	9606.ENSP00000264110,9606.ENSP00000360266	ATF2,JUN
GO:0019899	enzyme binding	7	2239	0.75	0.0113	9606.ENSP00000264110,9606.ENSP00000329967,9606.ENSP00000331288,9606.ENSP00000360266,9606.ENSP00000384273,9606.ENSP00000401980,9606.ENSP00000464030	ATF2,TBK1,TMEM173,JUN,RELA,MAVS,IKBKE
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	4	449	1.2	0.0153	9606.ENSP00000264110,9606.ENSP00000360266,9606.ENSP00000384273,9606.ENSP00000471896	ATF2,JUN,RELA,IRF3
GO:0098772	molecular function regulator	8	3422	0.62	0.0153	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000264110,9606.ENSP00000360266,9606.ENSP00000369581,9606.ENSP00000384273,9606.ENSP00000464030,9606.ENSP00000471896	CREBBP,EP300,ATF2,JUN,IFNB1,RELA,IKBKE,IRF3
GO:0140110	transcription regulator activity	6	1657	0.81	0.0199	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000264110,9606.ENSP00000360266,9606.ENSP00000384273,9606.ENSP00000471896	CREBBP,EP300,ATF2,JUN,RELA,IRF3
GO:0051059	NF-kappaB binding	2	31	2.06	0.0245	9606.ENSP00000263253,9606.ENSP00000384273	EP300,RELA
GO:0003712	transcription coregulator activity	4	571	1.1	0.0326	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000360266,9606.ENSP00000471896	CREBBP,EP300,JUN,IRF3
GO:0042802	identical protein binding	6	1896	0.75	0.0385	9606.ENSP00000329967,9606.ENSP00000331288,9606.ENSP00000360266,9606.ENSP00000384273,9606.ENSP00000464030,9606.ENSP00000471896	TBK1,TMEM173,JUN,RELA,IKBKE,IRF3
