#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0007596	blood coagulation	9	303	1.72	5.54e-11	9606.ENSP00000218099,9606.ENSP00000233156,9606.ENSP00000308541,9606.ENSP00000308938,9606.ENSP00000334145,9606.ENSP00000356671,9606.ENSP00000356771,9606.ENSP00000364709,9606.ENSP00000364731	F9,TFPI,F2,PLG,F3,SERPINC1,F5,F10,F7
GO:0072378	blood coagulation, fibrin clot formation	6	26	2.61	5.54e-11	9606.ENSP00000218099,9606.ENSP00000233156,9606.ENSP00000308541,9606.ENSP00000334145,9606.ENSP00000364709,9606.ENSP00000364731	F9,TFPI,F2,F3,F10,F7
GO:0030193	regulation of blood coagulation	6	80	2.13	5.31e-09	9606.ENSP00000233156,9606.ENSP00000308541,9606.ENSP00000308938,9606.ENSP00000334145,9606.ENSP00000356671,9606.ENSP00000364731	TFPI,F2,PLG,F3,SERPINC1,F7
GO:0007598	blood coagulation, extrinsic pathway	4	4	3.25	5.75e-09	9606.ENSP00000233156,9606.ENSP00000334145,9606.ENSP00000364709,9606.ENSP00000364731	TFPI,F3,F10,F7
GO:0030194	positive regulation of blood coagulation	4	28	2.41	2.25e-06	9606.ENSP00000308541,9606.ENSP00000308938,9606.ENSP00000334145,9606.ENSP00000364731	F2,PLG,F3,F7
GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	5	195	1.66	4.29e-05	9606.ENSP00000218099,9606.ENSP00000308541,9606.ENSP00000356771,9606.ENSP00000364709,9606.ENSP00000364731	F9,F2,F5,F10,F7
GO:0006950	response to stress	10	3485	0.71	0.00025	9606.ENSP00000218099,9606.ENSP00000233156,9606.ENSP00000239938,9606.ENSP00000308541,9606.ENSP00000308938,9606.ENSP00000334145,9606.ENSP00000356671,9606.ENSP00000356771,9606.ENSP00000364709,9606.ENSP00000364731	F9,TFPI,EGR1,F2,PLG,F3,SERPINC1,F5,F10,F7
GO:0065008	regulation of biological quality	10	4042	0.64	0.00097	9606.ENSP00000218099,9606.ENSP00000233156,9606.ENSP00000239938,9606.ENSP00000308541,9606.ENSP00000308938,9606.ENSP00000334145,9606.ENSP00000356671,9606.ENSP00000356771,9606.ENSP00000364709,9606.ENSP00000364731	F9,TFPI,EGR1,F2,PLG,F3,SERPINC1,F5,F10,F7
GO:0051897	positive regulation of protein kinase B signaling	4	170	1.62	0.0014	9606.ENSP00000265171,9606.ENSP00000334145,9606.ENSP00000364709,9606.ENSP00000364731	EGF,F3,F10,F7
GO:0019538	protein metabolic process	10	4251	0.62	0.0015	9606.ENSP00000218099,9606.ENSP00000233156,9606.ENSP00000265171,9606.ENSP00000308541,9606.ENSP00000308938,9606.ENSP00000334145,9606.ENSP00000356671,9606.ENSP00000356771,9606.ENSP00000364709,9606.ENSP00000364731	F9,TFPI,EGF,F2,PLG,F3,SERPINC1,F5,F10,F7
GO:0030195	negative regulation of blood coagulation	3	47	2.06	0.0017	9606.ENSP00000233156,9606.ENSP00000308541,9606.ENSP00000308938	TFPI,F2,PLG
GO:0010641	positive regulation of platelet-derived growth factor receptor signaling pathway	2	5	2.85	0.0034	9606.ENSP00000334145,9606.ENSP00000364731	F3,F7
GO:0030335	positive regulation of cell migration	5	522	1.23	0.0034	9606.ENSP00000265171,9606.ENSP00000308938,9606.ENSP00000334145,9606.ENSP00000364709,9606.ENSP00000364731	EGF,PLG,F3,F10,F7
GO:0002526	acute inflammatory response	3	74	1.86	0.0045	9606.ENSP00000308541,9606.ENSP00000334145,9606.ENSP00000356671	F2,F3,SERPINC1
GO:0032501	multicellular organismal process	11	6933	0.45	0.0051	9606.ENSP00000218099,9606.ENSP00000233156,9606.ENSP00000239938,9606.ENSP00000265171,9606.ENSP00000308541,9606.ENSP00000308938,9606.ENSP00000334145,9606.ENSP00000356671,9606.ENSP00000356771,9606.ENSP00000364709,9606.ENSP00000364731	F9,TFPI,EGR1,EGF,F2,PLG,F3,SERPINC1,F5,F10,F7
GO:0016192	vesicle-mediated transport	7	1805	0.84	0.0061	9606.ENSP00000218099,9606.ENSP00000265171,9606.ENSP00000308541,9606.ENSP00000308938,9606.ENSP00000356771,9606.ENSP00000364709,9606.ENSP00000364731	F9,EGF,F2,PLG,F5,F10,F7
GO:0051918	negative regulation of fibrinolysis	2	10	2.55	0.0079	9606.ENSP00000308541,9606.ENSP00000308938	F2,PLG
