#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0019752	carboxylic acid metabolic process	11	853	1.36	2.04e-11	9606.ENSP00000264705,9606.ENSP00000277865,9606.ENSP00000280706,9606.ENSP00000327070,9606.ENSP00000327589,9606.ENSP00000345282,9606.ENSP00000359539,9606.ENSP00000359976,9606.ENSP00000364490,9606.ENSP00000378408,9606.ENSP00000438144	CAD,GLUD1,LDHAL6A,MDH2,GLUD2,GPT2,GOT1,CTH,ALDH4A1,GPT,MDH1
GO:0008652	cellular amino acid biosynthetic process	7	75	2.22	3.08e-11	9606.ENSP00000264705,9606.ENSP00000277865,9606.ENSP00000327589,9606.ENSP00000345282,9606.ENSP00000359539,9606.ENSP00000359976,9606.ENSP00000378408	CAD,GLUD1,GLUD2,GPT2,GOT1,CTH,GPT
GO:1901605	alpha-amino acid metabolic process	8	191	1.87	5.57e-11	9606.ENSP00000264705,9606.ENSP00000277865,9606.ENSP00000327589,9606.ENSP00000345282,9606.ENSP00000359539,9606.ENSP00000359976,9606.ENSP00000364490,9606.ENSP00000378408	CAD,GLUD1,GLUD2,GPT2,GOT1,CTH,ALDH4A1,GPT
GO:0043648	dicarboxylic acid metabolic process	7	93	2.13	6.94e-11	9606.ENSP00000277865,9606.ENSP00000327070,9606.ENSP00000327589,9606.ENSP00000345282,9606.ENSP00000359539,9606.ENSP00000364490,9606.ENSP00000438144	GLUD1,MDH2,GLUD2,GPT2,GOT1,ALDH4A1,MDH1
GO:0009063	cellular amino acid catabolic process	7	124	2.0	4.12e-10	9606.ENSP00000277865,9606.ENSP00000327589,9606.ENSP00000345282,9606.ENSP00000359539,9606.ENSP00000359976,9606.ENSP00000364490,9606.ENSP00000378408	GLUD1,GLUD2,GPT2,GOT1,CTH,ALDH4A1,GPT
GO:0044283	small molecule biosynthetic process	9	572	1.45	1.71e-09	9606.ENSP00000264705,9606.ENSP00000277865,9606.ENSP00000327070,9606.ENSP00000327589,9606.ENSP00000345282,9606.ENSP00000359539,9606.ENSP00000359976,9606.ENSP00000378408,9606.ENSP00000438144	CAD,GLUD1,MDH2,GLUD2,GPT2,GOT1,CTH,GPT,MDH1
GO:1901606	alpha-amino acid catabolic process	6	104	2.01	1.97e-08	9606.ENSP00000277865,9606.ENSP00000327589,9606.ENSP00000345282,9606.ENSP00000359539,9606.ENSP00000364490,9606.ENSP00000378408	GLUD1,GLUD2,GPT2,GOT1,ALDH4A1,GPT
GO:1901607	alpha-amino acid biosynthetic process	5	58	2.19	1.46e-07	9606.ENSP00000264705,9606.ENSP00000277865,9606.ENSP00000327589,9606.ENSP00000359539,9606.ENSP00000359976	CAD,GLUD1,GLUD2,GOT1,CTH
GO:0009064	glutamine family amino acid metabolic process	5	69	2.11	3.14e-07	9606.ENSP00000264705,9606.ENSP00000277865,9606.ENSP00000327589,9606.ENSP00000359539,9606.ENSP00000364490	CAD,GLUD1,GLUD2,GOT1,ALDH4A1
GO:0009065	glutamine family amino acid catabolic process	4	27	2.42	1.55e-06	9606.ENSP00000277865,9606.ENSP00000327589,9606.ENSP00000359539,9606.ENSP00000364490	GLUD1,GLUD2,GOT1,ALDH4A1
GO:0006536	glutamate metabolic process	4	31	2.36	2.45e-06	9606.ENSP00000277865,9606.ENSP00000327589,9606.ENSP00000359539,9606.ENSP00000364490	GLUD1,GLUD2,GOT1,ALDH4A1
GO:0006107	oxaloacetate metabolic process	3	8	2.82	1.81e-05	9606.ENSP00000327070,9606.ENSP00000359539,9606.ENSP00000438144	MDH2,GOT1,MDH1
GO:0006538	glutamate catabolic process	3	8	2.82	1.81e-05	9606.ENSP00000277865,9606.ENSP00000327589,9606.ENSP00000359539	GLUD1,GLUD2,GOT1
GO:0043650	dicarboxylic acid biosynthetic process	3	13	2.61	5.60e-05	9606.ENSP00000277865,9606.ENSP00000327589,9606.ENSP00000359539	GLUD1,GLUD2,GOT1
GO:1901576	organic substance biosynthetic process	9	2734	0.77	0.00058	9606.ENSP00000264705,9606.ENSP00000277865,9606.ENSP00000327070,9606.ENSP00000327589,9606.ENSP00000345282,9606.ENSP00000359539,9606.ENSP00000359976,9606.ENSP00000378408,9606.ENSP00000438144	CAD,GLUD1,MDH2,GLUD2,GPT2,GOT1,CTH,GPT,MDH1
GO:0006094	gluconeogenesis	3	46	2.06	0.0014	9606.ENSP00000327070,9606.ENSP00000359539,9606.ENSP00000438144	MDH2,GOT1,MDH1
GO:0042853	L-alanine catabolic process	2	4	2.95	0.0024	9606.ENSP00000345282,9606.ENSP00000378408	GPT2,GPT
GO:0006537	glutamate biosynthetic process	2	5	2.85	0.0030	9606.ENSP00000277865,9606.ENSP00000327589	GLUD1,GLUD2
GO:0006108	malate metabolic process	2	8	2.65	0.0054	9606.ENSP00000327070,9606.ENSP00000438144	MDH2,MDH1
GO:0044238	primary metabolic process	11	7332	0.43	0.0084	9606.ENSP00000264705,9606.ENSP00000277865,9606.ENSP00000280706,9606.ENSP00000327070,9606.ENSP00000327589,9606.ENSP00000345282,9606.ENSP00000359539,9606.ENSP00000359976,9606.ENSP00000364490,9606.ENSP00000378408,9606.ENSP00000438144	CAD,GLUD1,LDHAL6A,MDH2,GLUD2,GPT2,GOT1,CTH,ALDH4A1,GPT,MDH1
GO:0006103	2-oxoglutarate metabolic process	2	16	2.35	0.0158	9606.ENSP00000345282,9606.ENSP00000359539	GPT2,GOT1
GO:0006541	glutamine metabolic process	2	21	2.23	0.0248	9606.ENSP00000264705,9606.ENSP00000277865	CAD,GLUD1
GO:0005975	carbohydrate metabolic process	4	467	1.18	0.0309	9606.ENSP00000280706,9606.ENSP00000327070,9606.ENSP00000359539,9606.ENSP00000438144	LDHAL6A,MDH2,GOT1,MDH1
