#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0008134	transcription factor binding	9	672	1.38	1.91e-08	9606.ENSP00000250003,9606.ENSP00000262965,9606.ENSP00000263253,9606.ENSP00000363689,9606.ENSP00000365280,9606.ENSP00000381382,9606.ENSP00000385824,9606.ENSP00000387699,9606.ENSP00000388940	MYOD1,TCF3,EP300,ID3,ID1,TCF4,FOXO3,CREB1,TCF12
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	9	1022	1.19	3.93e-07	9606.ENSP00000250003,9606.ENSP00000262965,9606.ENSP00000264824,9606.ENSP00000363689,9606.ENSP00000365280,9606.ENSP00000381382,9606.ENSP00000385824,9606.ENSP00000387699,9606.ENSP00000388940	MYOD1,TCF3,LYL1,ID3,ID1,TCF4,FOXO3,CREB1,TCF12
GO:0140110	transcription regulator activity	10	1657	1.03	3.93e-07	9606.ENSP00000250003,9606.ENSP00000262965,9606.ENSP00000263253,9606.ENSP00000264824,9606.ENSP00000363689,9606.ENSP00000365280,9606.ENSP00000381382,9606.ENSP00000385824,9606.ENSP00000387699,9606.ENSP00000388940	MYOD1,TCF3,EP300,LYL1,ID3,ID1,TCF4,FOXO3,CREB1,TCF12
GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	8	878	1.21	2.61e-06	9606.ENSP00000250003,9606.ENSP00000262965,9606.ENSP00000263253,9606.ENSP00000264824,9606.ENSP00000381382,9606.ENSP00000385824,9606.ENSP00000387699,9606.ENSP00000388940	MYOD1,TCF3,EP300,LYL1,TCF4,FOXO3,CREB1,TCF12
GO:0098772	molecular function regulator	11	3422	0.76	4.14e-06	9606.ENSP00000250003,9606.ENSP00000262965,9606.ENSP00000263253,9606.ENSP00000264824,9606.ENSP00000339191,9606.ENSP00000363689,9606.ENSP00000365280,9606.ENSP00000381382,9606.ENSP00000385824,9606.ENSP00000387699,9606.ENSP00000388940	MYOD1,TCF3,EP300,LYL1,CAV1,ID3,ID1,TCF4,FOXO3,CREB1,TCF12
GO:0046983	protein dimerization activity	8	1037	1.14	6.40e-06	9606.ENSP00000250003,9606.ENSP00000262965,9606.ENSP00000264824,9606.ENSP00000339191,9606.ENSP00000363689,9606.ENSP00000365280,9606.ENSP00000381382,9606.ENSP00000388940	MYOD1,TCF3,LYL1,CAV1,ID3,ID1,TCF4,TCF12
GO:0070888	E-box binding	4	49	2.16	7.40e-06	9606.ENSP00000250003,9606.ENSP00000262965,9606.ENSP00000381382,9606.ENSP00000388940	MYOD1,TCF3,TCF4,TCF12
GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	7	672	1.27	7.45e-06	9606.ENSP00000250003,9606.ENSP00000262965,9606.ENSP00000263253,9606.ENSP00000381382,9606.ENSP00000385824,9606.ENSP00000387699,9606.ENSP00000388940	MYOD1,TCF3,EP300,TCF4,FOXO3,CREB1,TCF12
GO:0140297	DNA-binding transcription factor binding	6	366	1.46	7.75e-06	9606.ENSP00000250003,9606.ENSP00000262965,9606.ENSP00000263253,9606.ENSP00000381382,9606.ENSP00000387699,9606.ENSP00000388940	MYOD1,TCF3,EP300,TCF4,CREB1,TCF12
GO:0003712	transcription coregulator activity	6	571	1.27	8.00e-05	9606.ENSP00000250003,9606.ENSP00000262965,9606.ENSP00000263253,9606.ENSP00000363689,9606.ENSP00000365280,9606.ENSP00000387699	MYOD1,TCF3,EP300,ID3,ID1,CREB1
