#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0050767	regulation of neurogenesis	7	828	1.18	0.00020	9606.ENSP00000262965,9606.ENSP00000263253,9606.ENSP00000289749,9606.ENSP00000365280,9606.ENSP00000381382,9606.ENSP00000387699,9606.ENSP00000388940	TCF3,EP300,NBL1,ID1,TCF4,CREB1,TCF12
GO:1903508	positive regulation of nucleic acid-templated transcription	9	1670	0.98	0.00020	9606.ENSP00000262965,9606.ENSP00000263253,9606.ENSP00000264824,9606.ENSP00000350844,9606.ENSP00000363689,9606.ENSP00000365280,9606.ENSP00000381382,9606.ENSP00000387699,9606.ENSP00000388940	TCF3,EP300,LYL1,PAX5,ID3,ID1,TCF4,CREB1,TCF12
GO:0006357	regulation of transcription by RNA polymerase II	9	2172	0.87	0.00023	9606.ENSP00000262965,9606.ENSP00000263253,9606.ENSP00000264824,9606.ENSP00000350844,9606.ENSP00000363689,9606.ENSP00000365280,9606.ENSP00000381382,9606.ENSP00000387699,9606.ENSP00000388940	TCF3,EP300,LYL1,PAX5,ID3,ID1,TCF4,CREB1,TCF12
GO:0007399	nervous system development	9	2371	0.83	0.00031	9606.ENSP00000262965,9606.ENSP00000263253,9606.ENSP00000289749,9606.ENSP00000350844,9606.ENSP00000363689,9606.ENSP00000365280,9606.ENSP00000381382,9606.ENSP00000387699,9606.ENSP00000388940	TCF3,EP300,NBL1,PAX5,ID3,ID1,TCF4,CREB1,TCF12
GO:0010628	positive regulation of gene expression	9	2337	0.84	0.00031	9606.ENSP00000262965,9606.ENSP00000263253,9606.ENSP00000264824,9606.ENSP00000350844,9606.ENSP00000363689,9606.ENSP00000365280,9606.ENSP00000381382,9606.ENSP00000387699,9606.ENSP00000388940	TCF3,EP300,LYL1,PAX5,ID3,ID1,TCF4,CREB1,TCF12
GO:0048699	generation of neurons	8	1551	0.96	0.00031	9606.ENSP00000262965,9606.ENSP00000263253,9606.ENSP00000289749,9606.ENSP00000363689,9606.ENSP00000365280,9606.ENSP00000381382,9606.ENSP00000387699,9606.ENSP00000388940	TCF3,EP300,NBL1,ID3,ID1,TCF4,CREB1,TCF12
GO:0030154	cell differentiation	10	3702	0.68	0.00059	9606.ENSP00000262965,9606.ENSP00000263253,9606.ENSP00000264824,9606.ENSP00000289749,9606.ENSP00000350844,9606.ENSP00000363689,9606.ENSP00000365280,9606.ENSP00000381382,9606.ENSP00000387699,9606.ENSP00000388940	TCF3,EP300,LYL1,NBL1,PAX5,ID3,ID1,TCF4,CREB1,TCF12
GO:0045664	regulation of neuron differentiation	6	665	1.21	0.00064	9606.ENSP00000262965,9606.ENSP00000263253,9606.ENSP00000289749,9606.ENSP00000365280,9606.ENSP00000381382,9606.ENSP00000388940	TCF3,EP300,NBL1,ID1,TCF4,TCF12
GO:0007623	circadian rhythm	4	142	1.7	0.00084	9606.ENSP00000263253,9606.ENSP00000363689,9606.ENSP00000365280,9606.ENSP00000387699	EP300,ID3,ID1,CREB1
GO:0045595	regulation of cell differentiation	8	1874	0.88	0.00084	9606.ENSP00000262965,9606.ENSP00000263253,9606.ENSP00000289749,9606.ENSP00000363689,9606.ENSP00000365280,9606.ENSP00000381382,9606.ENSP00000387699,9606.ENSP00000388940	TCF3,EP300,NBL1,ID3,ID1,TCF4,CREB1,TCF12
GO:0045666	positive regulation of neuron differentiation	5	377	1.37	0.00096	9606.ENSP00000262965,9606.ENSP00000263253,9606.ENSP00000289749,9606.ENSP00000381382,9606.ENSP00000388940	TCF3,EP300,NBL1,TCF4,TCF12
GO:0048731	system development	10	4426	0.6	0.0025	9606.ENSP00000262965,9606.ENSP00000263253,9606.ENSP00000264824,9606.ENSP00000289749,9606.ENSP00000350844,9606.ENSP00000363689,9606.ENSP00000365280,9606.ENSP00000381382,9606.ENSP00000387699,9606.ENSP00000388940	TCF3,EP300,LYL1,NBL1,PAX5,ID3,ID1,TCF4,CREB1,TCF12
GO:0048513	animal organ development	9	3197	0.7	0.0026	9606.ENSP00000262965,9606.ENSP00000263253,9606.ENSP00000264824,9606.ENSP00000289749,9606.ENSP00000350844,9606.ENSP00000363689,9606.ENSP00000365280,9606.ENSP00000387699,9606.ENSP00000388940	TCF3,EP300,LYL1,NBL1,PAX5,ID3,ID1,CREB1,TCF12
GO:0045893	positive regulation of transcription, DNA-templated	7	1587	0.89	0.0037	9606.ENSP00000262965,9606.ENSP00000263253,9606.ENSP00000264824,9606.ENSP00000350844,9606.ENSP00000381382,9606.ENSP00000387699,9606.ENSP00000388940	TCF3,EP300,LYL1,PAX5,TCF4,CREB1,TCF12
GO:0045597	positive regulation of cell differentiation	6	993	1.03	0.0039	9606.ENSP00000262965,9606.ENSP00000263253,9606.ENSP00000289749,9606.ENSP00000381382,9606.ENSP00000387699,9606.ENSP00000388940	TCF3,EP300,NBL1,TCF4,CREB1,TCF12
GO:0007517	muscle organ development	4	291	1.39	0.0067	9606.ENSP00000263253,9606.ENSP00000350844,9606.ENSP00000363689,9606.ENSP00000388940	EP300,PAX5,ID3,TCF12
GO:0045944	positive regulation of transcription by RNA polymerase II	6	1253	0.93	0.0093	9606.ENSP00000262965,9606.ENSP00000263253,9606.ENSP00000350844,9606.ENSP00000381382,9606.ENSP00000387699,9606.ENSP00000388940	TCF3,EP300,PAX5,TCF4,CREB1,TCF12
GO:0045892	negative regulation of transcription, DNA-templated	6	1273	0.92	0.0099	9606.ENSP00000262965,9606.ENSP00000263253,9606.ENSP00000350844,9606.ENSP00000363689,9606.ENSP00000365280,9606.ENSP00000387699	TCF3,EP300,PAX5,ID3,ID1,CREB1
GO:0048522	positive regulation of cellular process	10	5579	0.5	0.0106	9606.ENSP00000262965,9606.ENSP00000263253,9606.ENSP00000264824,9606.ENSP00000289749,9606.ENSP00000350844,9606.ENSP00000363689,9606.ENSP00000365280,9606.ENSP00000381382,9606.ENSP00000387699,9606.ENSP00000388940	TCF3,EP300,LYL1,NBL1,PAX5,ID3,ID1,TCF4,CREB1,TCF12
GO:0030183	B cell differentiation	3	110	1.69	0.0107	9606.ENSP00000262965,9606.ENSP00000263253,9606.ENSP00000264824	TCF3,EP300,LYL1
GO:0051239	regulation of multicellular organismal process	8	3227	0.64	0.0171	9606.ENSP00000262965,9606.ENSP00000263253,9606.ENSP00000289749,9606.ENSP00000363689,9606.ENSP00000365280,9606.ENSP00000381382,9606.ENSP00000387699,9606.ENSP00000388940	TCF3,EP300,NBL1,ID3,ID1,TCF4,CREB1,TCF12
GO:0002682	regulation of immune system process	6	1514	0.85	0.0204	9606.ENSP00000262965,9606.ENSP00000263253,9606.ENSP00000289749,9606.ENSP00000350844,9606.ENSP00000387699,9606.ENSP00000388940	TCF3,EP300,NBL1,PAX5,CREB1,TCF12
GO:0000122	negative regulation of transcription by RNA polymerase II	5	895	1.0	0.0209	9606.ENSP00000262965,9606.ENSP00000263253,9606.ENSP00000350844,9606.ENSP00000363689,9606.ENSP00000365280	TCF3,EP300,PAX5,ID3,ID1
GO:0051090	regulation of DNA-binding transcription factor activity	4	437	1.21	0.0209	9606.ENSP00000262965,9606.ENSP00000263253,9606.ENSP00000363689,9606.ENSP00000365280	TCF3,EP300,ID3,ID1
GO:0009887	animal organ morphogenesis	5	967	0.96	0.0271	9606.ENSP00000263253,9606.ENSP00000289749,9606.ENSP00000350844,9606.ENSP00000363689,9606.ENSP00000365280	EP300,NBL1,PAX5,ID3,ID1
GO:0030324	lung development	3	170	1.5	0.0271	9606.ENSP00000263253,9606.ENSP00000365280,9606.ENSP00000387699	EP300,ID1,CREB1
GO:1903706	regulation of hemopoiesis	4	493	1.16	0.0278	9606.ENSP00000262965,9606.ENSP00000263253,9606.ENSP00000387699,9606.ENSP00000388940	TCF3,EP300,CREB1,TCF12
GO:0051240	positive regulation of multicellular organismal process	6	1770	0.78	0.0394	9606.ENSP00000262965,9606.ENSP00000263253,9606.ENSP00000289749,9606.ENSP00000381382,9606.ENSP00000387699,9606.ENSP00000388940	TCF3,EP300,NBL1,TCF4,CREB1,TCF12
