#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0008015	blood circulation	8	394	1.56	8.08e-08	9606.ENSP00000255030,9606.ENSP00000265074,9606.ENSP00000341083,9606.ENSP00000347507,9606.ENSP00000357669,9606.ENSP00000365651,9606.ENSP00000365663,9606.ENSP00000386041	CRP,NPR3,NPR2,MYH7,NPR1,NPPB,NPPA,MYH6
GO:0007168	receptor guanylyl cyclase signaling pathway	4	10	2.85	3.14e-07	9606.ENSP00000341083,9606.ENSP00000357669,9606.ENSP00000365651,9606.ENSP00000365663	NPR2,NPR1,NPPB,NPPA
GO:0006182	cGMP biosynthetic process	4	11	2.81	3.21e-07	9606.ENSP00000341083,9606.ENSP00000357669,9606.ENSP00000365651,9606.ENSP00000365663	NPR2,NPR1,NPPB,NPPA
GO:0008217	regulation of blood pressure	6	182	1.77	1.12e-06	9606.ENSP00000265074,9606.ENSP00000341083,9606.ENSP00000357669,9606.ENSP00000365651,9606.ENSP00000365663,9606.ENSP00000386041	NPR3,NPR2,NPR1,NPPB,NPPA,MYH6
GO:0019934	cGMP-mediated signaling	4	21	2.53	1.70e-06	9606.ENSP00000341083,9606.ENSP00000357669,9606.ENSP00000365651,9606.ENSP00000365663	NPR2,NPR1,NPPB,NPPA
GO:0010753	positive regulation of cGMP-mediated signaling	3	7	2.88	2.52e-05	9606.ENSP00000341083,9606.ENSP00000357669,9606.ENSP00000365663	NPR2,NPR1,NPPA
GO:0014898	cardiac muscle hypertrophy in response to stress	3	14	2.58	0.00013	9606.ENSP00000347507,9606.ENSP00000365663,9606.ENSP00000386041	MYH7,NPPA,MYH6
GO:0035810	positive regulation of urine volume	3	15	2.55	0.00013	9606.ENSP00000265074,9606.ENSP00000357669,9606.ENSP00000365651	NPR3,NPR1,NPPB
GO:0008016	regulation of heart contraction	5	245	1.56	0.00015	9606.ENSP00000341083,9606.ENSP00000347507,9606.ENSP00000357669,9606.ENSP00000365663,9606.ENSP00000386041	NPR2,MYH7,NPR1,NPPA,MYH6
GO:0044057	regulation of system process	6	592	1.26	0.00031	9606.ENSP00000341083,9606.ENSP00000347507,9606.ENSP00000357669,9606.ENSP00000365651,9606.ENSP00000365663,9606.ENSP00000386041	NPR2,MYH7,NPR1,NPPB,NPPA,MYH6
GO:0097746	regulation of blood vessel diameter	4	139	1.71	0.00062	9606.ENSP00000255030,9606.ENSP00000357669,9606.ENSP00000365651,9606.ENSP00000365663	CRP,NPR1,NPPB,NPPA
GO:0065008	regulation of biological quality	10	4042	0.64	0.00072	9606.ENSP00000255030,9606.ENSP00000264110,9606.ENSP00000265074,9606.ENSP00000265986,9606.ENSP00000341083,9606.ENSP00000347507,9606.ENSP00000357669,9606.ENSP00000365651,9606.ENSP00000365663,9606.ENSP00000386041	CRP,ATF2,NPR3,IDE,NPR2,MYH7,NPR1,NPPB,NPPA,MYH6
GO:0051239	regulation of multicellular organismal process	9	3227	0.7	0.0017	9606.ENSP00000255030,9606.ENSP00000264110,9606.ENSP00000265074,9606.ENSP00000341083,9606.ENSP00000347507,9606.ENSP00000357669,9606.ENSP00000365651,9606.ENSP00000365663,9606.ENSP00000386041	CRP,ATF2,NPR3,NPR2,MYH7,NPR1,NPPB,NPPA,MYH6
GO:1903779	regulation of cardiac conduction	3	68	1.89	0.0032	9606.ENSP00000341083,9606.ENSP00000357669,9606.ENSP00000365663	NPR2,NPR1,NPPA
GO:0007589	body fluid secretion	3	73	1.86	0.0038	9606.ENSP00000265074,9606.ENSP00000357669,9606.ENSP00000365651	NPR3,NPR1,NPPB
GO:0002027	regulation of heart rate	3	99	1.73	0.0086	9606.ENSP00000347507,9606.ENSP00000365663,9606.ENSP00000386041	MYH7,NPPA,MYH6
GO:0051241	negative regulation of multicellular organismal process	6	1231	0.94	0.0086	9606.ENSP00000264110,9606.ENSP00000265074,9606.ENSP00000341083,9606.ENSP00000357669,9606.ENSP00000365651,9606.ENSP00000365663	ATF2,NPR3,NPR2,NPR1,NPPB,NPPA
GO:0007167	enzyme linked receptor protein signaling pathway	5	720	1.09	0.0094	9606.ENSP00000265986,9606.ENSP00000341083,9606.ENSP00000357669,9606.ENSP00000365651,9606.ENSP00000365663	IDE,NPR2,NPR1,NPPB,NPPA
