#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0006915	apoptotic process	8	918	1.19	6.19e-05	9606.ENSP00000264731,9606.ENSP00000277541,9606.ENSP00000312455,9606.ENSP00000342235,9606.ENSP00000367545,9606.ENSP00000386884,9606.ENSP00000409581,9606.ENSP00000480499	TP63,NOTCH1,CFLAR,ERBB4,TP73,CXCR4,ARRB1,ITCH
GO:0043408	regulation of MAPK cascade	7	725	1.23	0.00013	9606.ENSP00000277541,9606.ENSP00000312455,9606.ENSP00000342235,9606.ENSP00000367545,9606.ENSP00000386884,9606.ENSP00000409581,9606.ENSP00000480499	NOTCH1,CFLAR,ERBB4,TP73,CXCR4,ARRB1,ITCH
GO:0043067	regulation of programmed cell death	8	1569	0.96	0.00068	9606.ENSP00000264731,9606.ENSP00000277541,9606.ENSP00000312455,9606.ENSP00000342235,9606.ENSP00000367545,9606.ENSP00000386884,9606.ENSP00000409581,9606.ENSP00000480499	TP63,NOTCH1,CFLAR,ERBB4,TP73,CXCR4,ARRB1,ITCH
GO:0043410	positive regulation of MAPK cascade	6	543	1.29	0.00068	9606.ENSP00000277541,9606.ENSP00000312455,9606.ENSP00000342235,9606.ENSP00000367545,9606.ENSP00000386884,9606.ENSP00000409581	NOTCH1,CFLAR,ERBB4,TP73,CXCR4,ARRB1
GO:0051128	regulation of cellular component organization	9	2402	0.82	0.00070	9606.ENSP00000264731,9606.ENSP00000277541,9606.ENSP00000312455,9606.ENSP00000367545,9606.ENSP00000386884,9606.ENSP00000400906,9606.ENSP00000409581,9606.ENSP00000451300,9606.ENSP00000480499	TP63,NOTCH1,CFLAR,TP73,CXCR4,UBE2L3,ARRB1,NUMB,ITCH
GO:0051247	positive regulation of protein metabolic process	8	1715	0.92	0.00092	9606.ENSP00000277541,9606.ENSP00000312455,9606.ENSP00000342235,9606.ENSP00000367545,9606.ENSP00000386884,9606.ENSP00000400906,9606.ENSP00000409581,9606.ENSP00000480499	NOTCH1,CFLAR,ERBB4,TP73,CXCR4,UBE2L3,ARRB1,ITCH
GO:1902531	regulation of intracellular signal transduction	8	1807	0.9	0.0012	9606.ENSP00000264731,9606.ENSP00000277541,9606.ENSP00000312455,9606.ENSP00000342235,9606.ENSP00000367545,9606.ENSP00000386884,9606.ENSP00000409581,9606.ENSP00000480499	TP63,NOTCH1,CFLAR,ERBB4,TP73,CXCR4,ARRB1,ITCH
GO:0031399	regulation of protein modification process	8	1870	0.88	0.0014	9606.ENSP00000277541,9606.ENSP00000312455,9606.ENSP00000342235,9606.ENSP00000367545,9606.ENSP00000386884,9606.ENSP00000400906,9606.ENSP00000409581,9606.ENSP00000480499	NOTCH1,CFLAR,ERBB4,TP73,CXCR4,UBE2L3,ARRB1,ITCH
GO:0045595	regulation of cell differentiation	8	1874	0.88	0.0014	9606.ENSP00000264731,9606.ENSP00000277541,9606.ENSP00000312455,9606.ENSP00000342235,9606.ENSP00000367545,9606.ENSP00000386884,9606.ENSP00000451300,9606.ENSP00000480499	TP63,NOTCH1,CFLAR,ERBB4,TP73,CXCR4,NUMB,ITCH
GO:0031401	positive regulation of protein modification process	7	1252	1.0	0.0016	9606.ENSP00000277541,9606.ENSP00000312455,9606.ENSP00000342235,9606.ENSP00000367545,9606.ENSP00000386884,9606.ENSP00000400906,9606.ENSP00000409581	NOTCH1,CFLAR,ERBB4,TP73,CXCR4,UBE2L3,ARRB1
