#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0002253	activation of immune response	6	385	1.44	0.00045	9606.ENSP00000011653,9606.ENSP00000160262,9606.ENSP00000225698,9606.ENSP00000312158,9606.ENSP00000315477,9606.ENSP00000415283	CD4,ICAM3,C1QBP,BTN2A1,CD209,ICAM2
GO:0002684	positive regulation of immune system process	7	949	1.12	0.0016	9606.ENSP00000011653,9606.ENSP00000160262,9606.ENSP00000225698,9606.ENSP00000312158,9606.ENSP00000315477,9606.ENSP00000351602,9606.ENSP00000415283	CD4,ICAM3,C1QBP,BTN2A1,CD209,FUT4,ICAM2
GO:0002429	immune response-activating cell surface receptor signaling pathway	5	311	1.46	0.0022	9606.ENSP00000011653,9606.ENSP00000160262,9606.ENSP00000312158,9606.ENSP00000315477,9606.ENSP00000415283	CD4,ICAM3,BTN2A1,CD209,ICAM2
GO:0019048	modulation by virus of host process	3	29	2.26	0.0022	9606.ENSP00000011653,9606.ENSP00000315477,9606.ENSP00000316228	CD4,CD209,CLEC4M
GO:0046968	peptide antigen transport	2	3	3.07	0.0050	9606.ENSP00000315477,9606.ENSP00000316228	CD209,CLEC4M
GO:0002223	stimulatory C-type lectin receptor signaling pathway	3	111	1.68	0.0254	9606.ENSP00000160262,9606.ENSP00000315477,9606.ENSP00000415283	ICAM3,CD209,ICAM2
GO:0002250	adaptive immune response	4	317	1.35	0.0254	9606.ENSP00000011653,9606.ENSP00000225698,9606.ENSP00000315477,9606.ENSP00000316228	CD4,C1QBP,CD209,CLEC4M
GO:0006952	defense response	6	1296	0.92	0.0254	9606.ENSP00000011653,9606.ENSP00000225698,9606.ENSP00000266041,9606.ENSP00000315477,9606.ENSP00000316228,9606.ENSP00000371194	CD4,C1QBP,ITIH4,CD209,CLEC4M,LSP1
GO:0019062	virion attachment to host cell	2	10	2.55	0.0254	9606.ENSP00000315477,9606.ENSP00000316228	CD209,CLEC4M
GO:0002831	regulation of response to biotic stimulus	4	406	1.24	0.0375	9606.ENSP00000160262,9606.ENSP00000225698,9606.ENSP00000315477,9606.ENSP00000415283	ICAM3,C1QBP,CD209,ICAM2
GO:0045785	positive regulation of cell adhesion	4	423	1.23	0.0408	9606.ENSP00000011653,9606.ENSP00000225698,9606.ENSP00000315477,9606.ENSP00000351602	CD4,C1QBP,CD209,FUT4
