#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0006090	pyruvate metabolic process	7	69	2.26	5.71e-11	9606.ENSP00000320171,9606.ENSP00000321070,9606.ENSP00000339933,9606.ENSP00000377532,9606.ENSP00000379386,9606.ENSP00000405573,9606.ENSP00000437783	PKM,ME2,PKLR,PC,LDHB,GPI,LDHC
GO:0005975	carbohydrate metabolic process	9	467	1.54	9.20e-10	9606.ENSP00000245206,9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000359539,9606.ENSP00000377192,9606.ENSP00000377532,9606.ENSP00000379386,9606.ENSP00000405573,9606.ENSP00000437783	GOT2,PKM,PKLR,GOT1,G6PD,PC,LDHB,GPI,LDHC
GO:0006006	glucose metabolic process	7	116	2.03	9.20e-10	9606.ENSP00000245206,9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000359539,9606.ENSP00000377192,9606.ENSP00000377532,9606.ENSP00000405573	GOT2,PKM,PKLR,GOT1,G6PD,PC,GPI
GO:0019752	carboxylic acid metabolic process	10	853	1.32	1.22e-09	9606.ENSP00000245206,9606.ENSP00000300051,9606.ENSP00000320171,9606.ENSP00000321070,9606.ENSP00000339933,9606.ENSP00000359539,9606.ENSP00000377532,9606.ENSP00000379386,9606.ENSP00000405573,9606.ENSP00000437783	GOT2,LDHD,PKM,ME2,PKLR,GOT1,PC,LDHB,GPI,LDHC
GO:0032787	monocarboxylic acid metabolic process	9	515	1.49	1.22e-09	9606.ENSP00000245206,9606.ENSP00000300051,9606.ENSP00000320171,9606.ENSP00000321070,9606.ENSP00000339933,9606.ENSP00000377532,9606.ENSP00000379386,9606.ENSP00000405573,9606.ENSP00000437783	GOT2,LDHD,PKM,ME2,PKLR,PC,LDHB,GPI,LDHC
GO:0044281	small molecule metabolic process	11	1684	1.07	3.87e-09	9606.ENSP00000245206,9606.ENSP00000300051,9606.ENSP00000320171,9606.ENSP00000321070,9606.ENSP00000339933,9606.ENSP00000359539,9606.ENSP00000377192,9606.ENSP00000377532,9606.ENSP00000379386,9606.ENSP00000405573,9606.ENSP00000437783	GOT2,LDHD,PKM,ME2,PKLR,GOT1,G6PD,PC,LDHB,GPI,LDHC
GO:0044283	small molecule biosynthetic process	8	572	1.4	1.37e-07	9606.ENSP00000245206,9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000359539,9606.ENSP00000377192,9606.ENSP00000377532,9606.ENSP00000405573,9606.ENSP00000437783	GOT2,PKM,PKLR,GOT1,G6PD,PC,GPI,LDHC
GO:0046364	monosaccharide biosynthetic process	5	55	2.21	1.52e-07	9606.ENSP00000245206,9606.ENSP00000359539,9606.ENSP00000377192,9606.ENSP00000377532,9606.ENSP00000405573	GOT2,GOT1,G6PD,PC,GPI
GO:0055114	oxidation-reduction process	8	939	1.18	5.68e-06	9606.ENSP00000300051,9606.ENSP00000320171,9606.ENSP00000321070,9606.ENSP00000339933,9606.ENSP00000377192,9606.ENSP00000379386,9606.ENSP00000405573,9606.ENSP00000437783	LDHD,PKM,ME2,PKLR,G6PD,LDHB,GPI,LDHC
GO:0006094	gluconeogenesis	4	46	2.19	1.43e-05	9606.ENSP00000245206,9606.ENSP00000359539,9606.ENSP00000377532,9606.ENSP00000405573	GOT2,GOT1,PC,GPI
