#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0030170	pyridoxal phosphate binding	4	54	2.12	0.00012	9606.ENSP00000345282,9606.ENSP00000359539,9606.ENSP00000359976,9606.ENSP00000378408	GPT2,GOT1,CTH,GPT
GO:0008483	transaminase activity	3	21	2.41	0.00046	9606.ENSP00000345282,9606.ENSP00000359539,9606.ENSP00000378408	GPT2,GOT1,GPT
GO:0003824	catalytic activity	11	5486	0.55	0.00089	9606.ENSP00000264705,9606.ENSP00000277865,9606.ENSP00000280706,9606.ENSP00000327070,9606.ENSP00000327589,9606.ENSP00000345282,9606.ENSP00000359539,9606.ENSP00000359976,9606.ENSP00000364490,9606.ENSP00000378408,9606.ENSP00000438144	CAD,GLUD1,LDHAL6A,MDH2,GLUD2,GPT2,GOT1,CTH,ALDH4A1,GPT,MDH1
GO:0016491	oxidoreductase activity	6	726	1.17	0.00089	9606.ENSP00000277865,9606.ENSP00000280706,9606.ENSP00000327070,9606.ENSP00000327589,9606.ENSP00000364490,9606.ENSP00000438144	GLUD1,LDHAL6A,MDH2,GLUD2,ALDH4A1,MDH1
GO:0004021	L-alanine:2-oxoglutarate aminotransferase activity	2	2	3.25	0.0011	9606.ENSP00000345282,9606.ENSP00000378408	GPT2,GPT
GO:0004352	glutamate dehydrogenase (NAD+) activity	2	2	3.25	0.0011	9606.ENSP00000277865,9606.ENSP00000327589	GLUD1,GLUD2
GO:0030060	L-malate dehydrogenase activity	2	4	2.95	0.0017	9606.ENSP00000327070,9606.ENSP00000438144	MDH2,MDH1
GO:0016597	amino acid binding	3	59	1.96	0.0018	9606.ENSP00000264705,9606.ENSP00000277865,9606.ENSP00000327589	CAD,GLUD1,GLUD2
GO:0031406	carboxylic acid binding	4	218	1.51	0.0018	9606.ENSP00000264705,9606.ENSP00000277865,9606.ENSP00000327589,9606.ENSP00000359539	CAD,GLUD1,GLUD2,GOT1
GO:0036094	small molecule binding	8	2516	0.75	0.0027	9606.ENSP00000264705,9606.ENSP00000277865,9606.ENSP00000327589,9606.ENSP00000345282,9606.ENSP00000359539,9606.ENSP00000359976,9606.ENSP00000378408,9606.ENSP00000438144	CAD,GLUD1,GLUD2,GPT2,GOT1,CTH,GPT,MDH1
GO:0070728	leucine binding	2	7	2.71	0.0030	9606.ENSP00000277865,9606.ENSP00000327589	GLUD1,GLUD2
GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	3	122	1.64	0.0106	9606.ENSP00000280706,9606.ENSP00000327070,9606.ENSP00000438144	LDHAL6A,MDH2,MDH1
GO:0043531	ADP binding	2	35	2.01	0.0430	9606.ENSP00000277865,9606.ENSP00000327589	GLUD1,GLUD2
